Ciutat,Variació mensual,Variació tres messos,Variació anual,€/m2,Menos 60 m2 / Menos de 100.000 Euros,Menos 60 m2 / Entre 100.000 Euros y 250.000 Euros,Menos 60 m2 / Más de 250.000 euros,Entre 60 m2 y 120 m2 / Menos de 100.000 Euros,Entre 60 m2 y 120 m2 / Entre 100.000 Euros y 250.000 Euros,Entre 60 m2 y 120 m2 / Más de 250.000 Euros,Más de 120 m2 / Menos de 100.000 euros,Más de 120 m2 / Entre 100.000 euros y 250.000 euros,Más de 120 m2 / Más de 250.000 euros
Chipiona,-0.15,-0.91,6.12,1.697 ,1.852 ,2.271 ,-,1.184 ,1.725 ,-,-,1.122 ,1.921 
Conil de la Frontera,0.47,1.39,5.45,2.194 ,-,-,-,-,2.072 ,-,-,1.422 ,2.264 
El Puerto de Santa María,-1.29,-2.25,14.42,1.854 ,1.593 ,2.868 ,-,967 ,1.831 ,3.016 ,-,1.281 ,2.220 
Jerez de la Frontera,-0.88,-3.20,2.06,1.180 ,982 ,-,-,852 ,1.498 ,-,606 ,1.072 ,1.457 
La Línea de la Concepción,2.04,-1.04,-5.04,1.115 ,-,-,-,856 ,1.417 ,-,-,1.065 ,-
Los Barrios,-1.89,-3.15,-5.91,1.231 ,-,-,-,-,1.432 ,-,-,1.087 ,1.244 
Puerto Real,1.32,4.87,1.50,1.299 ,-,-,-,1.020 ,1.493 ,-,-,1.150 ,1.400 
Rota,1.98,7.08,2.38,1.814 ,1.713 ,-,-,1.034 ,1.912 ,-,-,1.413 ,1.878 
San Fernando,-1.75,-1.75,2.99,1.283 ,1.312 ,-,-,998 ,1.482 ,-,-,1.123 ,1.768 
Sanlúcar de Barrameda,0.45,-0.04,6.06,1.509 ,1.409 ,2.275 ,-,1.082 ,1.646 ,-,-,1.151 ,1.690 
